date,zone,ndvi_mean,ndvi_median,ndvi_std,ndvi_p25,ndvi_p75,ndvi_min,ndvi_max,height_mean_cm,height_median_cm,height_p25_cm,height_p75_cm,scene_key,valid_pixels,total_pixels,valid_fraction
10/6/2023,N,0.828175247,0.841926932,0.053269129,0.814712048,0.85899359,0.317460299,0.893845022,72.81754303,74.19268799,71.47120667,75.89936066,2023-10-06_6819114,59210,59210,1
10/7/2023,N,0.838629782,0.853254199,0.054016337,0.823587418,0.870675564,0.289137036,0.902242541,73.86297607,75.32542419,72.35874939,77.06755829,2023-10-07_6821228,59210,59210,1
10/9/2023,N,0.833107769,0.846473873,0.051134594,0.821052611,0.862260878,0.325276077,0.896231115,73.31078339,74.64738464,72.10526276,76.22608948,2023-10-09_6825212,59210,59210,1
10/13/2023,N,0.831516206,0.846093774,0.055137742,0.816167057,0.863848269,0.30271402,0.902248621,73.1516037,74.609375,71.61669922,76.38482666,2023-10-13_6833007,59210,59210,1
10/15/2023,N,0.835788071,0.849304616,0.056292038,0.821045399,0.870598555,0.28261894,0.91404897,73.57881165,74.9304657,72.10453796,77.0598526,2023-10-15_6837120,59204,59210,0.999898666
10/17/2023,N,0.827632487,0.841015637,0.051809538,0.811651111,0.859389305,0.303375274,0.896840274,72.76324463,74.1015625,71.16510773,75.93893433,2023-10-17_6841238,59210,59210,1
10/18/2023,N,0.820471227,0.83535111,0.054355927,0.805844486,0.852376759,0.264318138,0.88704437,72.04711914,73.53511047,70.58444214,75.23767853,2023-10-18_6843419,59210,59210,1
10/19/2023,N,0.835034668,0.852534592,0.058765486,0.826240659,0.868035555,0.324474514,0.902516901,73.50346375,75.25345612,72.62406158,76.80355835,2023-10-19_6845274,59210,59210,1
10/20/2023,N,0.82859534,0.843260169,0.05644837,0.813011289,0.862555742,0.292624891,0.902780056,72.85953522,74.32601929,71.3011322,76.25557709,2023-10-20_6847324,59210,59210,1
10/21/2023,N,0.833813071,0.850158989,0.055166446,0.819590032,0.867269874,0.33850494,0.902844131,73.38130951,75.01589966,71.95899963,76.72698212,2023-10-21_6849580,59210,59210,1
10/22/2023,N,0.847385228,0.862226725,0.054235045,0.836018145,0.87898314,0.384283632,0.911749005,74.73852539,76.22267151,73.60181427,77.89831543,2023-10-22_6851681,59210,59210,1
10/23/2023,N,0.837188601,0.855011523,0.060615227,0.819817007,0.874484003,0.335216612,0.909959555,73.71886444,75.50115204,71.98169708,77.4484024,2023-10-23_6854353,59210,59210,1
10/24/2023,N,0.812232375,0.82744956,0.059266631,0.795960188,0.848414302,0.293126374,0.886799216,71.22325134,72.74495697,69.59601593,74.84143066,2023-10-24_6855966,59210,59210,1
10/25/2023,N,0.818989992,0.836559117,0.063627191,0.805852711,0.857252777,0.335992903,0.901778758,71.89900208,73.65591431,70.58527374,75.72527313,2023-10-25_6858126,59210,59210,1
10/27/2023,N,0.792663157,0.807650268,0.061498497,0.776745141,0.830015957,0.280435264,0.872823596,69.26631165,70.76502991,67.67451477,73.00159454,2023-10-27_6863148,59210,59210,1
10/30/2023,N,0.786295116,0.801988482,0.065267563,0.769491553,0.826661289,0.268645912,0.873631656,68.62950897,70.19885254,66.94915771,72.66613007,2023-10-30_6869689,59210,59210,1
10/31/2023,N,0.777362347,0.791541457,0.061706848,0.760133922,0.816258609,0.268618166,0.860698462,67.73623657,69.15414429,66.01338959,71.62586212,2023-10-31_6871707,59210,59210,1
